DaystoShipActual	SalesForecast	ShipStatus	DaystoShipScheduled	SalesperCustomer	ProfitRatio	Category	City	Country/Region	CustomerName	Discount	NumberofRecords	OrderDate	Order ID	Person	PostalCode	ProductName	Profit	Quantity	Region	Returned	ProfitperOrder	 Sales 	Segment	ShipDate	ShipMode	State	SubCategory
5	"$2,555 "	Shipped Early	6	"$1,706.18 "	5.00%	Furniture	Los Angeles	United States	Brosina Hoffman	20.00%	1	6/9/2016	CA-2016-115812	Anna Andreadi	90032	Chromcraft Rectangular Conference Tables	$85 	9	West		$85.31 	" $1,706.00 "	Consumer	6/14/2016	Standard Class	California	Tables
5	"$1,365 "	Shipped Early	6	$911.42 	7.50%	Technology	Los Angeles	United States	Brosina Hoffman	20.00%	1	6/9/2016	CA-2016-115812	Anna Andreadi	90032	Konftel 250 Conference phone - Charcoal black	$68 	4	West		$68.36 	$911 	Consumer	6/14/2016	Standard Class	California	Phones
5	$23 	Shipped Early	6	$15.55 	35.00%	Office Supplies	Concord	United States	Andrew Allen	20.00%	1	4/15/2019	CA-2019-114412	Cassandra Brandow	28027	Xerox 1967	$5 	3	South		$5.44 	$16 	Consumer	4/20/2019	Standard Class	North Carolina	Paper
5	$611 	Shipped Early	6	$407.98 	32.50%	Office Supplies	Seattle	United States	Irene Maddox	20.00%	1	12/5/2018	CA-2018-161389	Anna Andreadi	98103	Fellowes PB200 Plastic Comb Binding Machine	$133 	3	West		$132.59 	$408 	Consumer	12/10/2018	Standard Class	Washington	Binders
4	$103 	Shipped Early	6	$68.81 	-180.00%	Office Supplies	Fort Worth	United States	Harold Pawlan	80.00%	1	11/22/2017	US-2017-118983	Kelly Williams	76106	"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"	($124)	5	Central		($123.86)	$69 	Home Office	11/26/2017	Standard Class	Texas	Appliances
4	$4 	Shipped Early	6	$2.54 	-150.00%	Office Supplies	Fort Worth	United States	Harold Pawlan	80.00%	1	11/22/2017	US-2017-118983	Kelly Williams	76106	Storex DuraTech Recycled Plastic Frosted Binders	($4)	3	Central		($3.82)	$3 	Home Office	11/26/2017	Standard Class	Texas	Binders
7	$997 	Shipped Late	6	$665.88 	2.00%	Office Supplies	Madison	United States	Pete Kriz	0.00%	1	11/11/2016	CA-2016-105893	Kelly Williams	53711	"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"	$13 	6	Central		$13.32 	$666 	Consumer	11/18/2016	Standard Class	Wisconsin	Storage
2	$83 	Shipped Early	3	$55.50 	18.00%	Office Supplies	West Jordan	United States	Alejandro Grove	0.00%	1	5/13/2016	CA-2016-167164	Anna Andreadi	84084	Fellowes Super Stor/Drawer	$10 	2	West		$9.99 	$56 	Consumer	5/15/2016	Second Class	Utah	Storage
5	$13 	Shipped Late	3	$8.56 	29.00%	Office Supplies	San Francisco	United States	Zuschuss Donatelli	0.00%	1	8/27/2016	CA-2016-143336	Anna Andreadi	94109	Newell 341	$2 	2	West	Yes	$2.48 	$9 	Consumer	9/1/2016	Second Class	California	Art
5	$13 	Shipped Late	3	$8.56 	29.00%	Office Supplies	San Francisco	United States	Zuschuss Donatelli	0.00%	1	8/27/2016	CA-2016-143336	Anna Andreadi	94109	Newell 341	$2 	2	West	Yes	$2.48 	$9 	Consumer	9/1/2016	Second Class	California	Art
5	$13 	Shipped Late	3	$8.56 	29.00%	Office Supplies	San Francisco	United States	Zuschuss Donatelli	0.00%	1	8/27/2016	CA-2016-143336	Anna Andreadi	94109	Newell 341	$2 	2	West	Yes	$2.48 	$9 	Consumer	9/1/2016	Second Class	California	Art
5	$320 	Shipped Late	3	$213.48 	7.50%	Technology	San Francisco	United States	Zuschuss Donatelli	20.00%	1	8/27/2016	CA-2016-143336	Anna Andreadi	94109	Cisco SPA 501G IP Phone	$16 	3	West	Yes	$16.01 	$213 	Consumer	9/1/2016	Second Class	California	Phones
5	$320 	Shipped Late	3	$213.48 	7.50%	Technology	San Francisco	United States	Zuschuss Donatelli	20.00%	1	8/27/2016	CA-2016-143336	Anna Andreadi	94109	Cisco SPA 501G IP Phone	$16 	3	West	Yes	$16.01 	$213 	Consumer	9/1/2016	Second Class	California	Phones
5	$320 	Shipped Late	3	$213.48 	7.50%	Technology	San Francisco	United States	Zuschuss Donatelli	20.00%	1	8/27/2016	CA-2016-143336	Anna Andreadi	94109	Cisco SPA 501G IP Phone	$16 	3	West	Yes	$16.01 	$213 	Consumer	9/1/2016	Second Class	California	Phones
5	$34 	Shipped Late	3	$22.72 	32.50%	Office Supplies	San Francisco	United States	Zuschuss Donatelli	20.00%	1	8/27/2016	CA-2016-143336	Anna Andreadi	94109	"Wilson Jones Hanging View Binder, White, 1"""	$7 	4	West	Yes	$7.38 	$23 	Consumer	9/1/2016	Second Class	California	Binders
5	$34 	Shipped Late	3	$22.72 	32.50%	Office Supplies	San Francisco	United States	Zuschuss Donatelli	20.00%	1	8/27/2016	CA-2016-143336	Anna Andreadi	94109	"Wilson Jones Hanging View Binder, White, 1"""	$7 	4	West	Yes	$7.38 	$23 	Consumer	9/1/2016	Second Class	California	Binders
5	$34 	Shipped Late	3	$22.72 	32.50%	Office Supplies	San Francisco	United States	Zuschuss Donatelli	20.00%	1	8/27/2016	CA-2016-143336	Anna Andreadi	94109	"Wilson Jones Hanging View Binder, White, 1"""	$7 	4	West	Yes	$7.38 	$23 	Consumer	9/1/2016	Second Class	California	Binders
4	$29 	Shipped Early	6	$19.46 	26.00%	Office Supplies	Fremont	United States	Ken Black	0.00%	1	12/9/2018	CA-2018-137330	Kelly Williams	68025	Newell 318	$5 	7	Central		$5.06 	$19 	Corporate	12/13/2018	Standard Class	Nebraska	Art
4	$90 	Shipped Early	6	$60.34 	26.00%	Office Supplies	Fremont	United States	Ken Black	0.00%	1	12/9/2018	CA-2018-137330	Kelly Williams	68025	"Acco Six-Outlet Power Strip, 4' Cord Length"	$16 	7	Central		$15.69 	$60 	Corporate	12/13/2018	Standard Class	Nebraska	Appliances
2	$107 	Shipped Early	3	$71.37 	-1.40%	Furniture	Philadelphia	United States	Sandra Flanagan	30.00%	1	7/16/2019	US-2019-156909	Chuck Magee	19140	"Global Deluxe Stacking Chair, Gray"	($1)	2	East		($1.02)	 $71.00 	Consumer	7/18/2019	Second Class	Pennsylvania	Chairs
5	"$1,564 "	Shipped Early	6	"$1,044.63 "	23.00%	Furniture	Orem	United States	Emily Burns	0.00%	1	9/25/2017	CA-2017-106320	Anna Andreadi	84057	Bretford CR4500 Series Slim Rectangular Table	$240 	3	West		$240.26 	" $1,045.00 "	Consumer	9/30/2017	Standard Class	Utah	Tables
4	$17 	Shipped Late	3	$11.65 	36.30%	Office Supplies	Los Angeles	United States	Eric Hoffmann	20.00%	1	1/16/2018	CA-2018-121755	Anna Andreadi	90049	Wilson Jones Active Use Binders	$4 	2	West		$4.22 	$12 	Consumer	1/20/2018	Second Class	California	Binders
4	$136 	Shipped Late	3	$90.57 	13.00%	Technology	Los Angeles	United States	Eric Hoffmann	0.00%	1	1/16/2018	CA-2018-121755	Anna Andreadi	90049	Imation 8GB Mini TravelDrive USB 2.0 Flash Drive	$12 	3	West		$11.77 	$91 	Consumer	1/20/2018	Second Class	California	Accessories
4	"$4,618 "	Shipped Early	6	"$3,083.43 "	-54.00%	Furniture	Philadelphia	United States	Tracy Blumstein	50.00%	1	9/17/2017	US-2017-150630	Chuck Magee	19140	"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"	"($1,665)"	7	East		"($1,665.05)"	" $3,083.00 "	Consumer	9/21/2017	Standard Class	Pennsylvania	Bookcases
4	$14 	Shipped Early	6	$9.62 	-73.30%	Office Supplies	Philadelphia	United States	Tracy Blumstein	70.00%	1	9/17/2017	US-2017-150630	Chuck Magee	19140	Avery Recycled Flexi-View Covers for Binding Systems	($7)	2	East		($7.05)	$10 	Consumer	9/21/2017	Standard Class	Pennsylvania	Binders
4	$186 	Shipped Early	6	$124.20 	12.50%	Furniture	Philadelphia	United States	Tracy Blumstein	20.00%	1	9/17/2017	US-2017-150630	Chuck Magee	19140	"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"	$16 	3	East		$15.52 	 $124.00 	Consumer	9/21/2017	Standard Class	Pennsylvania	Furnishings
4	$5 	Shipped Early	6	$3.26 	33.80%	Office Supplies	Philadelphia	United States	Tracy Blumstein	20.00%	1	9/17/2017	US-2017-150630	Chuck Magee	19140	Poly String Tie Envelopes	$1 	2	East		$1.10 	$3 	Consumer	9/21/2017	Standard Class	Pennsylvania	Envelopes
4	$129 	Shipped Early	6	$86.30 	11.30%	Office Supplies	Philadelphia	United States	Tracy Blumstein	20.00%	1	9/17/2017	US-2017-150630	Chuck Magee	19140	"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"	$10 	6	East		$9.71 	$86 	Consumer	9/21/2017	Standard Class	Pennsylvania	Art
4	$10 	Shipped Early	6	$6.86 	-83.30%	Office Supplies	Philadelphia	United States	Tracy Blumstein	70.00%	1	9/17/2017	US-2017-150630	Chuck Magee	19140	"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"	($6)	6	East		($5.71)	$7 	Consumer	9/21/2017	Standard Class	Pennsylvania	Binders
4	$24 	Shipped Early	6	$15.76 	22.50%	Office Supplies	Philadelphia	United States	Tracy Blumstein	20.00%	1	9/17/2017	US-2017-150630	Chuck Magee	19140	Lumber Crayons	$4 	2	East		$3.55 	$16 	Consumer	9/21/2017	Standard Class	Pennsylvania	Art
4	$44 	Shipped Late	3	$29.47 	33.80%	Office Supplies	Houston	United States	Matt Abelman	20.00%	1	10/19/2019	CA-2019-107727	Kelly Williams	77095	Easy-staple paper	$10 	3	Central		$9.95 	$29 	Home Office	10/23/2019	Second Class	Texas	Paper
2	"$1,644 "	Shipped Late	1	"$1,097.54 "	11.30%	Technology	Richardson	United States	Gene Hale	20.00%	1	12/8/2018	CA-2018-117590	Kelly Williams	75080	GE 30524EE4	$123 	7	Central		$123.47 	"$1,098 "	Corporate	12/10/2018	First Class	Texas	Phones
2	$286 	Shipped Late	1	$190.92 	-77.50%	Furniture	Richardson	United States	Gene Hale	60.00%	1	12/8/2018	CA-2018-117590	Kelly Williams	75080	"Electrix Architect's Clamp-On Swing Arm Lamp, Black"	($148)	5	Central		($147.96)	 $191.00 	Corporate	12/10/2018	First Class	Texas	Furnishings
4	$170 	Shipped Early	6	$113.33 	31.30%	Office Supplies	Houston	United States	Steve Nguyen	20.00%	1	12/27/2017	CA-2017-117415	Kelly Williams	77041	"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"	$35 	9	Central		$35.41 	$113 	Home Office	12/31/2017	Standard Class	Texas	Envelopes
4	$797 	Shipped Early	6	$532.40 	-8.80%	Furniture	Houston	United States	Steve Nguyen	32.00%	1	12/27/2017	CA-2017-117415	Kelly Williams	77041	"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"	($47)	3	Central		($46.98)	 $532.00 	Home Office	12/31/2017	Standard Class	Texas	Bookcases
4	$318 	Shipped Early	6	$212.06 	-7.10%	Furniture	Houston	United States	Steve Nguyen	30.00%	1	12/27/2017	CA-2017-117415	Kelly Williams	77041	"Global Fabric Manager's Chair, Dark Gray"	($15)	3	Central		($15.15)	 $212.00 	Home Office	12/31/2017	Standard Class	Texas	Chairs
4	$556 	Shipped Early	6	$371.17 	11.30%	Technology	Houston	United States	Steve Nguyen	20.00%	1	12/27/2017	CA-2017-117415	Kelly Williams	77041	Plantronics HL10 Handset Lifter	$42 	4	Central		$41.76 	$371 	Home Office	12/31/2017	Standard Class	Texas	Phones
5	$220 	Shipped Early	6	$147.17 	11.30%	Technology	Naperville	United States	Linda Cazamias	20.00%	1	9/10/2019	CA-2019-120999	Kelly Williams	60540	Panasonic Kx-TS550	$17 	4	Central		$16.56 	$147 	Corporate	9/15/2019	Standard Class	Illinois	Phones
5	$117 	Shipped Early	6	$77.88 	5.00%	Office Supplies	Los Angeles	United States	Ruben Ausman	0.00%	1	7/17/2018	CA-2018-101343	Anna Andreadi	90049	"Eldon Base for stackable storage shelf, platinum"	$4 	2	West		$3.89 	$78 	Corporate	7/22/2018	Standard Class	California	Storage
4	$143 	Shipped Early	6	$95.62 	10.00%	Office Supplies	Melbourne	United States	Erin Smith	20.00%	1	9/19/2019	CA-2019-139619	Cassandra Brandow	32935	"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"	$10 	2	South		$9.56 	$96 	Corporate	9/23/2019	Standard Class	Florida	Storage
2	$69 	Shipped Late	1	$45.98 	43.00%	Technology	Eagan	United States	Odella Nelson	0.00%	1	3/11/2018	CA-2018-118255	Kelly Williams	55122	"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"	$20 	2	Central		$19.77 	$46 	Corporate	3/13/2018	First Class	Minnesota	Accessories
2	$26 	Shipped Late	1	$17.46 	47.00%	Office Supplies	Eagan	United States	Odella Nelson	0.00%	1	3/11/2018	CA-2018-118255	Kelly Williams	55122	Wilson Jones Leather-Like Binders with DublLock Round Rings	$8 	2	Central		$8.21 	$17 	Corporate	3/13/2018	First Class	Minnesota	Binders
5	$317 	Shipped Late	3	$211.96 	4.00%	Office Supplies	Westland	United States	Patrick O'Donnell	0.00%	1	10/20/2016	CA-2016-146703	Kelly Williams	48185	"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"	$8 	4	Central		$8.48 	$212 	Consumer	10/25/2016	Second Class	Michigan	Storage
5	$67 	Shipped Early	6	$45.00 	11.00%	Technology	Dover	United States	Lena Hernandez	0.00%	1	6/20/2018	CA-2018-169194	Chuck Magee	19901	Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive	$5 	3	East		$4.95 	$45 	Consumer	6/25/2018	Standard Class	Delaware	Accessories
5	$33 	Shipped Early	6	$21.80 	28.00%	Technology	Dover	United States	Lena Hernandez	0.00%	1	6/20/2018	CA-2018-169194	Chuck Magee	19901	"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"	$6 	2	East		$6.10 	$22 	Consumer	6/25/2018	Standard Class	Delaware	Phones
4	$57 	Shipped Early	6	$38.22 	47.00%	Office Supplies	New Albany	United States	Darren Powers	0.00%	1	4/18/2017	CA-2017-115742	Kelly Williams	47150	"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"	$18 	6	Central		$17.96 	$38 	Consumer	4/22/2017	Standard Class	Indiana	Binders
4	$113 	Shipped Early	6	$75.18 	47.00%	Office Supplies	New Albany	United States	Darren Powers	0.00%	1	4/18/2017	CA-2017-115742	Kelly Williams	47150	Avery 485	$35 	6	Central		$35.33 	$75 	Consumer	4/22/2017	Standard Class	Indiana	Labels
4	$9 	Shipped Early	6	$6.16 	48.00%	Furniture	New Albany	United States	Darren Powers	0.00%	1	4/18/2017	CA-2017-115742	Kelly Williams	47150	Longer-Life Soft White Bulbs	$3 	2	Central		$2.96 	 $6.00 	Consumer	4/22/2017	Standard Class	Indiana	Furnishings
4	$135 	Shipped Early	6	$89.99 	19.00%	Furniture	New Albany	United States	Darren Powers	0.00%	1	4/18/2017	CA-2017-115742	Kelly Williams	47150	"Global Leather Task Chair, Black"	$17 	1	Central		$17.10 	 $90.00 	Consumer	4/22/2017	Standard Class	Indiana	Chairs
6	$23 	Shipped On Time	6	$15.26 	41.00%	Office Supplies	New York City	United States	Janet Molinari	0.00%	1	12/11/2018	CA-2018-105816	Chuck Magee	10024	Advantus Push Pins	$6 	7	East		$6.26 	$15 	Corporate	12/17/2018	Standard Class	New York	Fasteners
6	"$1,542 "	Shipped On Time	6	"$1,029.95 "	29.00%	Technology	New York City	United States	Janet Molinari	0.00%	1	12/11/2018	CA-2018-105816	Chuck Magee	10024	AT&T CL83451 4-Handset Telephone	$299 	5	East		$298.69 	"$1,030 "	Corporate	12/17/2018	Standard Class	New York	Phones
1	$312 	Shipped On Time	1	$208.56 	25.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Home/Office Personal File Carts	$52 	6	East	Yes	$52.14 	$209 	Consumer	6/18/2018	First Class	New York	Storage
1	$312 	Shipped On Time	1	$208.56 	25.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Home/Office Personal File Carts	$52 	6	East	Yes	$52.14 	$209 	Consumer	6/18/2018	First Class	New York	Storage
1	$312 	Shipped On Time	1	$208.56 	25.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Home/Office Personal File Carts	$52 	6	East	Yes	$52.14 	$209 	Consumer	6/18/2018	First Class	New York	Storage
1	$312 	Shipped On Time	1	$208.56 	25.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Home/Office Personal File Carts	$52 	6	East	Yes	$52.14 	$209 	Consumer	6/18/2018	First Class	New York	Storage
1	$312 	Shipped On Time	1	$208.56 	25.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Home/Office Personal File Carts	$52 	6	East	Yes	$52.14 	$209 	Consumer	6/18/2018	First Class	New York	Storage
1	$312 	Shipped On Time	1	$208.56 	25.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Home/Office Personal File Carts	$52 	6	East	Yes	$52.14 	$209 	Consumer	6/18/2018	First Class	New York	Storage
1	$312 	Shipped On Time	1	$208.56 	25.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Home/Office Personal File Carts	$52 	6	East	Yes	$52.14 	$209 	Consumer	6/18/2018	First Class	New York	Storage
1	$49 	Shipped On Time	1	$32.40 	48.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Xerox 232	$16 	5	East	Yes	$15.55 	$32 	Consumer	6/18/2018	First Class	New York	Paper
1	$49 	Shipped On Time	1	$32.40 	48.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Xerox 232	$16 	5	East	Yes	$15.55 	$32 	Consumer	6/18/2018	First Class	New York	Paper
1	$49 	Shipped On Time	1	$32.40 	48.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Xerox 232	$16 	5	East	Yes	$15.55 	$32 	Consumer	6/18/2018	First Class	New York	Paper
1	$49 	Shipped On Time	1	$32.40 	48.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Xerox 232	$16 	5	East	Yes	$15.55 	$32 	Consumer	6/18/2018	First Class	New York	Paper
1	$49 	Shipped On Time	1	$32.40 	48.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Xerox 232	$16 	5	East	Yes	$15.55 	$32 	Consumer	6/18/2018	First Class	New York	Paper
1	$49 	Shipped On Time	1	$32.40 	48.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Xerox 232	$16 	5	East	Yes	$15.55 	$32 	Consumer	6/18/2018	First Class	New York	Paper
1	$49 	Shipped On Time	1	$32.40 	48.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Xerox 232	$16 	5	East	Yes	$15.55 	$32 	Consumer	6/18/2018	First Class	New York	Paper
1	$478 	Shipped On Time	1	$319.41 	2.20%	Furniture	Troy	United States	Ted Butterfield	10.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Novimex Turbo Task Chair	$7 	5	East	Yes	$7.10 	 $319.00 	Consumer	6/18/2018	First Class	New York	Chairs
1	$478 	Shipped On Time	1	$319.41 	2.20%	Furniture	Troy	United States	Ted Butterfield	10.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Novimex Turbo Task Chair	$7 	5	East	Yes	$7.10 	 $319.00 	Consumer	6/18/2018	First Class	New York	Chairs
1	$478 	Shipped On Time	1	$319.41 	2.20%	Furniture	Troy	United States	Ted Butterfield	10.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Novimex Turbo Task Chair	$7 	5	East	Yes	$7.10 	 $319.00 	Consumer	6/18/2018	First Class	New York	Chairs
1	$478 	Shipped On Time	1	$319.41 	2.20%	Furniture	Troy	United States	Ted Butterfield	10.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Novimex Turbo Task Chair	$7 	5	East	Yes	$7.10 	 $319.00 	Consumer	6/18/2018	First Class	New York	Chairs
1	$478 	Shipped On Time	1	$319.41 	2.20%	Furniture	Troy	United States	Ted Butterfield	10.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Novimex Turbo Task Chair	$7 	5	East	Yes	$7.10 	 $319.00 	Consumer	6/18/2018	First Class	New York	Chairs
1	$478 	Shipped On Time	1	$319.41 	2.20%	Furniture	Troy	United States	Ted Butterfield	10.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Novimex Turbo Task Chair	$7 	5	East	Yes	$7.10 	 $319.00 	Consumer	6/18/2018	First Class	New York	Chairs
1	$478 	Shipped On Time	1	$319.41 	2.20%	Furniture	Troy	United States	Ted Butterfield	10.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Novimex Turbo Task Chair	$7 	5	East	Yes	$7.10 	 $319.00 	Consumer	6/18/2018	First Class	New York	Chairs
1	$22 	Shipped On Time	1	$14.56 	48.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	"Array Parchment Paper, Assorted Colors"	$7 	2	East	Yes	$6.99 	$15 	Consumer	6/18/2018	First Class	New York	Paper
1	$22 	Shipped On Time	1	$14.56 	48.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	"Array Parchment Paper, Assorted Colors"	$7 	2	East	Yes	$6.99 	$15 	Consumer	6/18/2018	First Class	New York	Paper
1	$22 	Shipped On Time	1	$14.56 	48.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	"Array Parchment Paper, Assorted Colors"	$7 	2	East	Yes	$6.99 	$15 	Consumer	6/18/2018	First Class	New York	Paper
1	$22 	Shipped On Time	1	$14.56 	48.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	"Array Parchment Paper, Assorted Colors"	$7 	2	East	Yes	$6.99 	$15 	Consumer	6/18/2018	First Class	New York	Paper
1	$22 	Shipped On Time	1	$14.56 	48.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	"Array Parchment Paper, Assorted Colors"	$7 	2	East	Yes	$6.99 	$15 	Consumer	6/18/2018	First Class	New York	Paper
1	$22 	Shipped On Time	1	$14.56 	48.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	"Array Parchment Paper, Assorted Colors"	$7 	2	East	Yes	$6.99 	$15 	Consumer	6/18/2018	First Class	New York	Paper
1	$22 	Shipped On Time	1	$14.56 	48.00%	Office Supplies	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	"Array Parchment Paper, Assorted Colors"	$7 	2	East	Yes	$6.99 	$15 	Consumer	6/18/2018	First Class	New York	Paper
1	$45 	Shipped On Time	1	$30.00 	11.00%	Technology	Troy	United States	Ted Butterfield	0.00%	1	6/17/2018	CA-2018-111682	Chuck Magee	12180	Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive	$3 	2	East	Yes	$3.30 	$30 	Consumer	6/18/2018	First Class	New York	Accessories
